id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
1666322849,9e2e5fb5-0ce7-33ba-bc72-6bf9457e4bd7,  -27.144020,  -52.361810,2024-01-03 17:43:00,Brasil,SANTA CATARINA,SEARA,Mata Atlântica
1666547556,d08c8fe3-6ee6-3726-a2bd-8545c7887965,  -27.257810,  -51.837860,2024-01-05 17:26:00,Brasil,SANTA CATARINA,CONCÓRDIA,Mata Atlântica
1666547557,787330d0-087e-30a4-a7f4-936d622776bb,  -27.256160,  -51.823730,2024-01-05 17:26:00,Brasil,SANTA CATARINA,CONCÓRDIA,Mata Atlântica
1666547558,755b4723-bdc1-33ff-a68b-4f513f168ad8,  -27.153470,  -52.330160,2024-01-05 17:26:00,Brasil,SANTA CATARINA,SEARA,Mata Atlântica
1666547559,a829ca66-d653-391b-b8e0-9c028c61de55,  -27.039460,  -49.578890,2024-01-05 17:26:00,Brasil,SANTA CATARINA,IBIRAMA,Mata Atlântica
1666547560,47d6ef18-7437-3e60-ab7c-2f2067d8ae53,  -27.038060,  -49.568240,2024-01-05 17:26:00,Brasil,SANTA CATARINA,IBIRAMA,Mata Atlântica
1666547561,7e9cdc03-3154-3c28-8bfc-b74276764818,  -26.526690,  -50.273250,2024-01-05 17:26:00,Brasil,SANTA CATARINA,MAJOR VIEIRA,Mata Atlântica
1666775337,051eee7d-405f-3c84-8a05-49e4f677e29c,  -27.909180,  -51.014310,2024-01-07 17:11:00,Brasil,SANTA CATARINA,CERRO NEGRO,Mata Atlântica
1666775338,55ef56a4-3044-3411-b9dc-3defdd766bd6,  -27.771000,  -50.376940,2024-01-07 17:11:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1666775341,8bc3ef32-e6d7-3e3d-9f99-308f05e23485,  -26.192490,  -50.256610,2024-01-07 17:11:00,Brasil,SANTA CATARINA,TRÊS BARRAS,Mata Atlântica
1666775342,4bdc6337-0aef-32c0-b649-b309b5fb4763,  -26.187710,  -50.264080,2024-01-07 17:11:00,Brasil,SANTA CATARINA,TRÊS BARRAS,Mata Atlântica
1667095984,69bf7e39-4220-3804-a8a9-d95a3380de5c,  -27.753850,  -49.382770,2024-01-09 16:56:00,Brasil,SANTA CATARINA,ALFREDO WAGNER,Mata Atlântica
1667233574,030c2ad1-57f2-3ec2-ba4c-d5fe5e60a41c,  -26.670920,  -48.953530,2024-01-10 17:38:00,Brasil,SANTA CATARINA,MASSARANDUBA,Mata Atlântica
1667233575,40dcfc03-cf4b-316f-9c6e-f70f71b24f0c,  -26.073130,  -48.617870,2024-01-10 17:38:00,Brasil,SANTA CATARINA,ITAPOÁ,Mata Atlântica
1667233576,7b3eae2c-70d7-36d4-8f6e-9c098994e085,  -27.740510,  -49.736270,2024-01-10 17:38:00,Brasil,SANTA CATARINA,BOM RETIRO,Mata Atlântica
1667791879,6d359f39-10ef-31dc-9267-2737893c88b1,  -26.481260,  -48.992950,2024-01-14 17:06:00,Brasil,SANTA CATARINA,GUARAMIRIM,Mata Atlântica
1668094146,53afd9a9-85e1-3b1a-bb8a-f85942db114f,  -26.493830,  -49.072460,2024-01-16 16:52:00,Brasil,SANTA CATARINA,JARAGUÁ DO SUL,Mata Atlântica
1668533823,70c32eca-96d6-3a0a-9c99-3af4a5d4b319,  -28.328510,  -49.175770,2024-01-19 17:17:00,Brasil,SANTA CATARINA,SÃO LUDGERO,Mata Atlântica
1669215275,e7da16e5-d215-3115-9931-8893932f0355,  -27.212830,  -52.470670,2024-01-24 17:26:00,Brasil,SANTA CATARINA,PAIAL,Mata Atlântica
1671818796,e2e54c74-6e53-3dbc-86d4-bf3ef23c0d23,  -26.953580,  -48.747020,2024-01-31 17:21:00,Brasil,SANTA CATARINA,ITAJAÍ,Mata Atlântica
1671818797,bcede089-4237-377c-82c3-6f5d23e1e8cf,  -26.866210,  -49.092690,2024-01-31 17:21:00,Brasil,SANTA CATARINA,BLUMENAU,Mata Atlântica
1671818798,a571d3a9-516d-3b21-8ec9-f7d0a45d6e0e,  -26.752970,  -49.171590,2024-01-31 17:21:00,Brasil,SANTA CATARINA,POMERODE,Mata Atlântica
1671818809,ae4a42e1-e7b6-3be4-a1d2-499d275562fb,  -27.769320,  -50.378470,2024-01-31 17:21:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1671818810,7e517545-29e3-37cf-a33d-0b0a7e24cc0a,  -27.767640,  -50.363620,2024-01-31 17:21:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1671818811,f1ee63cf-0daa-343f-bbf0-bba7794dac82,  -27.507720,  -50.586540,2024-01-31 17:21:00,Brasil,SANTA CATARINA,SÃO JOSÉ DO CERRITO,Mata Atlântica
1671818812,44c9ab95-b851-3d85-8a40-30df1d81e677,  -27.506090,  -50.571880,2024-01-31 17:21:00,Brasil,SANTA CATARINA,SÃO JOSÉ DO CERRITO,Mata Atlântica
1672304464,ee4f2a75-5e8b-3df4-b2f8-aa3d8f9e3321,  -27.603030,  -50.781430,2024-02-03 17:47:00,Brasil,SANTA CATARINA,SÃO JOSÉ DO CERRITO,Mata Atlântica
1672304465,3a8891ae-8f6b-3473-ae57-38707d35bac4,  -27.148970,  -52.354310,2024-02-03 17:47:00,Brasil,SANTA CATARINA,SEARA,Mata Atlântica
1672689136,37f90284-a6aa-39c4-920b-2a525baf2623,  -27.955300,  -50.275820,2024-02-05 17:32:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1672689137,d6cd4eda-935e-3293-885f-a8f3fc0fb2ab,  -27.953860,  -50.264770,2024-02-05 17:32:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1672689138,67288087-5449-3ae9-95fe-67ebf1ada5d5,  -27.952440,  -50.253880,2024-02-05 17:32:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1672689139,5407e946-45d8-395c-ad9b-613b66cd5d84,  -27.708930,  -50.085010,2024-02-05 17:32:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1672689140,1385df39-2379-3890-9583-4b8a446b76c9,  -27.702700,  -50.092690,2024-02-05 17:32:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1672689141,a477b231-3a09-38e1-88f9-4b206157dcfe,  -27.701260,  -50.081950,2024-02-05 17:32:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1672689142,cbe9643e-1529-3976-9e71-60cca7b77d8c,  -27.691380,  -50.149660,2024-02-05 17:32:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1672689143,8201da8e-d96f-3c50-908b-a09ada966403,  -27.677840,  -50.409130,2024-02-05 17:32:00,Brasil,SANTA CATARINA,CORREIA PINTO,Mata Atlântica
1672689144,a9db1133-af6c-33bd-b7fc-3c7d5cb541c5,  -27.676410,  -50.398120,2024-02-05 17:32:00,Brasil,SANTA CATARINA,CORREIA PINTO,Mata Atlântica
1672689146,2169c69a-f532-3082-845a-a41cf4cb2558,  -26.966830,  -49.349980,2024-02-05 17:32:00,Brasil,SANTA CATARINA,ASCURRA,Mata Atlântica
1672689147,71704790-124e-330c-ad61-31a1dfd74f01,  -26.964680,  -52.540100,2024-02-05 17:32:00,Brasil,SANTA CATARINA,XAXIM,Mata Atlântica
1672689149,cb25a5af-cbec-3686-9e5f-dcf009a492f7,  -26.019040,  -50.003620,2024-02-05 17:32:00,Brasil,SANTA CATARINA,MAFRA,Mata Atlântica
1673124958,49112cfa-9ac4-34e7-9fbf-9bc450f685a0,  -27.961600,  -50.256890,2024-02-07 17:17:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1673124959,c98106f7-0561-36a7-9c61-225728024a6e,  -27.955310,  -50.264700,2024-02-07 17:17:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
1673124960,db6aef98-bfbc-3d58-b842-f1d8df5664f3,  -27.856850,  -50.416550,2024-02-07 17:17:00,Brasil,SANTA CATARINA,LAGES,Mata Atlântica
